outlet_id,outlet_name,outlet_type,city,cuisine_type,account_manager,seating_capacity,google_rating,instagram_followers,months_onboarded,flavours_ordered,complaints_last3m,payment_delay_days,am_assigned,outreach_response_rate,order_m1,order_m2,order_m3,order_m4,order_m5,order_m6,avg_monthly_cubes,order_trend_pct,days_since_last_order,monthly_revenue_inr,monthly_gp_inr,annual_revenue_inr,ltv_24m_inr,churn_risk_score,churned,recommended_intervention,intervention_cost_inr,expected_revenue_saved_inr,retention_roi,intervention_efficiency,retention_priority_index,health_tier,priority_tier
FF-1023,Crimson Fork,Bar & Lounge,Mumbai,Japanese,Riya Sharma,219,3.6,56254,13,7,1,17,1,2,6758,7088,7353,6952,6745,6718,6935,-0.59,77,41610,19141,499320,363679,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1024,Olive & Oak,Bar & Lounge,Chennai,Continental,Neha Joshi,44,4.4,62938,32,3,7,8,1,0,8483,8108,7730,7863,8021,7208,7902,-15.03,52,47412,21810,568944,436200,45.5,0,Dedicated Account Manager,8000,119082,1388.4,0.85,5.63,🟡 At Risk,Tier 3 – Monitor
FF-1025,The Rooftop Sip,Fine Dining Restaurant,Hyderabad,Italian,Vikram Singh,108,4.7,29871,31,5,1,28,1,2,5489,5248,4877,4949,4587,4637,4964,-15.52,66,29784,13701,357408,328824,36.4,0,Extended Credit Terms,596,71815,11929.5,0.7,2.79,🟢 Healthy,Tier 3 – Monitor
FF-1026,Downtown Diner,Premium Café,Bangalore,Japanese,Neha Joshi,287,3.3,52001,16,3,2,12,1,0,17773,18675,18831,18901,17322,17065,18094,-3.98,52,108564,49939,1302768,699146,36.4,0,Dedicated Account Manager,8000,152693,1808.4,0.85,7.21,🟢 Healthy,Tier 2 – Engage
FF-1027,Bombay Blend,Bar & Lounge,Ranchi,Fusion,Vikram Singh,162,4.4,61446,32,3,6,16,0,0,9282,9921,10072,6840,4590,3018,7287,-67.48,77,43722,20112,524664,100560,81.8,1,Dedicated Account Manager,8000,49354,516.9,0.85,2.33,🔴 Critical,Tier 3 – Monitor
FF-1028,The Mango Tree,5-Star Hotel,Mumbai,Italian,Neha Joshi,78,4.9,38967,32,2,0,44,1,1,8188,7657,8112,7779,7401,7213,7725,-11.91,22,46350,21321,556200,511704,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1029,Latitude 28,Premium Café,Mumbai,Indian,Neha Joshi,45,3.4,18125,34,3,0,31,1,0,14992,14872,15055,13152,12526,11077,13612,-26.11,55,81672,37569,980064,150276,54.5,1,Extended Credit Terms,1633,49140,2907.4,0.7,1.91,🟡 At Risk,Tier 3 – Monitor
FF-1030,The Ice House,5-Star Hotel,Mumbai,Japanese,Neha Joshi,66,4.8,34393,11,6,7,21,1,0,8078,7867,7672,7677,6938,7016,7541,-13.15,67,45246,20813,542952,249756,45.5,0,Dedicated Account Manager,8000,68183,752.2,0.85,3.22,🟡 At Risk,Tier 3 – Monitor
FF-1031,Pearl & Petal,Premium Café,Hyderabad,Fusion,Vikram Singh,285,4.3,76829,10,1,6,3,0,2,13667,14477,15178,13788,12452,10294,13309,-24.68,60,79854,36733,958248,697927,45.5,0,Dedicated Account Manager,8000,190534,2281.4,0.85,9.0,🟡 At Risk,Tier 2 – Engage
FF-1032,Mosaic Café,Premium Café,Delhi,Multi-Cuisine,Vikram Singh,35,4.3,31507,15,4,5,4,1,0,16476,15378,15477,15264,14461,13398,15075,-18.68,58,90450,41607,1085400,998568,45.5,0,Dedicated Account Manager,8000,272609,3307.2,0.85,12.88,🟡 At Risk,Tier 1 – Urgent
FF-1033,The Black Label,Cloud Kitchen,Delhi,Continental,Neha Joshi,218,4.3,40032,17,1,5,36,1,2,16090,15346,14312,8661,5113,3250,10462,-79.8,30,62772,28875,753264,28875,63.6,1,Extended Credit Terms,1255,11018,777.3,0.7,0.43,🟡 At Risk,Tier 3 – Monitor
FF-1034,Sundowner Bar,Catering Service,Delhi,Pan-Asian,Arjun Mehta,105,3.7,54753,18,7,5,40,0,3,6539,6803,6874,4359,2809,1802,4864,-72.43,120,29184,13425,350208,26850,100.0,1,Extended Credit Terms,584,16110,2654.0,0.7,0.63,🔴 Critical,Tier 3 – Monitor
FF-1035,Spice Symphony,Fine Dining Restaurant,Delhi,Mediterranean,Priya Nair,269,4.9,12823,9,5,0,12,0,0,9474,8793,9367,8868,8301,8384,8864,-11.5,69,53184,24465,638208,538230,36.4,0,Dedicated Account Manager,8000,117549,1369.2,0.85,5.55,🟢 Healthy,Tier 3 – Monitor
FF-1036,Casa Milano,Bar & Lounge,Pune,Continental,Priya Nair,289,4.9,73879,25,4,1,33,1,0,10296,10283,10112,6336,3945,2330,7217,-77.36,120,43302,19919,519624,19919,72.7,1,Extended Credit Terms,866,8688,902.2,0.7,0.34,🔴 Critical,Tier 3 – Monitor
FF-1037,The Lemon Tree,Premium Café,Hyderabad,Fusion,Priya Nair,136,4.3,14710,14,3,0,44,1,2,8130,8054,7791,3882,1770,877,5084,-89.2,62,30504,14032,366048,14032,63.6,1,Extended Credit Terms,610,5354,776.4,0.7,0.21,🟡 At Risk,Tier 3 – Monitor
FF-1038,Bourbon Street,4-Star Hotel,Bangalore,Continental,Vikram Singh,26,4.6,16956,25,5,4,21,0,3,11150,10854,10234,8283,6110,4806,8572,-56.89,13,51432,23659,617184,567816,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1039,Café Nuvola,Bar & Lounge,Delhi,Indian,Vikram Singh,156,4.3,31867,22,4,3,22,1,1,20421,20076,18956,11518,7072,4086,13688,-79.99,82,82128,37779,985536,906696,45.5,0,Dedicated Account Manager,8000,247528,2993.7,0.85,11.69,🟡 At Risk,Tier 1 – Urgent
FF-1040,The Blue Petal Café II,Premium Café,Bangalore,Multi-Cuisine,Arjun Mehta,195,4.1,55124,30,6,5,2,1,3,17047,17128,16943,16278,14869,13890,16025,-18.52,57,96150,44229,1153800,619206,36.4,0,Dedicated Account Manager,8000,135234,1590.2,0.85,6.39,🟢 Healthy,Tier 2 – Engage
FF-1041,Skyline Bar II,Bar & Lounge,Bangalore,Mediterranean,Priya Nair,234,4.4,10606,20,6,1,41,1,2,12506,11828,12009,10728,10564,9228,11143,-26.21,53,66858,30755,802296,707365,36.4,0,Extended Credit Terms,1337,154488,11446.3,0.7,6.01,🟢 Healthy,Tier 2 – Engage
FF-1042,Monarch Grand Hotel II,Premium Café,Delhi,Japanese,Priya Nair,101,4.2,68508,21,6,2,33,0,3,6726,6803,6346,5900,5315,4903,5998,-27.1,12,35988,16554,431856,248310,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1043,Spice Route II,Cloud Kitchen,Bangalore,Japanese,Neha Joshi,242,4.3,72740,32,6,7,31,1,2,18380,19278,20633,20994,20418,20777,20080,13.04,13,120480,55421,1445760,1274683,36.4,0,Extended Credit Terms,2410,278390,11446.7,0.7,10.83,🟢 Healthy,Tier 2 – Engage
FF-1044,The Artisan Brew II,Premium Café,Mumbai,Japanese,Vikram Singh,122,4.6,64815,21,3,2,44,0,2,6338,6601,6870,3559,1634,792,4299,-87.49,120,25794,11865,309528,35595,72.7,1,Extended Credit Terms,516,15526,2903.3,0.7,0.6,🔴 Critical,Tier 3 – Monitor
FF-1045,Fusion 9 II,4-Star Hotel,Ranchi,Fusion,Priya Nair,292,4.1,69749,35,1,3,20,1,1,6892,6510,6600,6306,5966,5849,6353,-15.13,57,38118,17534,457416,227942,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1046,Cloud Nine Lounge II,Bar & Lounge,Ranchi,Italian,Arjun Mehta,33,3.3,71087,32,4,1,43,0,0,10375,9792,10306,8349,6939,5644,8567,-45.6,40,51402,23645,616824,307385,45.5,0,Extended Credit Terms,1028,83916,8055.2,0.7,3.27,🟡 At Risk,Tier 3 – Monitor
FF-1047,The Grand Palate II,Bar & Lounge,Delhi,Italian,Arjun Mehta,178,3.5,11256,30,3,0,20,0,2,11232,10815,10088,8349,6173,4606,8543,-58.99,80,51258,23579,615096,565896,36.4,0,Dedicated Account Manager,8000,123591,1444.7,0.85,5.84,🟢 Healthy,Tier 2 – Engage
FF-1048,Saffron Kitchen II,Bar & Lounge,Mumbai,Pan-Asian,Priya Nair,171,4.0,68511,12,6,0,43,1,2,13333,13036,12987,8668,5887,3796,9617,-71.52,104,57702,26543,692424,79629,63.6,1,Extended Credit Terms,1154,30386,2530.9,0.7,1.18,🟡 At Risk,Tier 3 – Monitor
FF-1049,Urban Brew Co. II,Premium Café,Ranchi,Mediterranean,Vikram Singh,127,4.5,36878,18,7,4,10,0,1,14727,14511,14813,6868,3196,1503,9269,-89.79,57,55614,25582,667368,76746,54.5,1,Premium Flavour Trial,500,25095,4909.2,0.65,0.91,🟡 At Risk,Tier 3 – Monitor
FF-1050,The Cellar Bar II,Catering Service,Bangalore,Japanese,Arjun Mehta,207,4.3,4755,21,1,4,38,1,2,18879,19421,20442,21330,21569,21606,20541,14.44,3,123246,56693,1478952,1020474,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1051,Pearl Continental II,Fine Dining Restaurant,Pune,Italian,Neha Joshi,117,4.4,14984,13,7,0,3,0,0,22045,20481,21409,20477,20108,18203,20453,-17.43,5,122718,56450,1472616,1354800,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1052,Breezy Bites II,Cloud Kitchen,Ranchi,Fusion,Arjun Mehta,150,4.1,57049,21,5,2,0,1,1,14956,13842,13348,12692,13106,13272,13536,-11.26,11,81216,37359,974592,859257,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1053,Metro Mixology II,Cloud Kitchen,Delhi,Pan-Asian,Riya Sharma,190,4.3,35003,8,7,7,27,0,0,16436,16151,17290,15722,15456,14074,15854,-14.37,71,95124,43757,1141488,87514,72.7,1,Extended Credit Terms,1902,38173,1906.0,0.7,1.49,🔴 Critical,Tier 3 – Monitor
FF-1054,The Social Hub II,5-Star Hotel,Delhi,Multi-Cuisine,Riya Sharma,202,3.8,74294,7,5,5,23,0,0,7339,7570,7115,6922,6784,6279,7001,-14.44,56,42006,19323,504072,115938,54.5,1,Dedicated Account Manager,8000,37911,373.8,0.85,1.79,🟡 At Risk,Tier 3 – Monitor
FF-1055,Terrace & Toast II,Cloud Kitchen,Ranchi,Pan-Asian,Vikram Singh,58,4.0,45613,23,5,2,34,0,1,6041,5744,6088,5578,5183,5109,5623,-15.43,10,33738,15519,404856,263823,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1056,Altitude Lounge II,Premium Café,Delhi,Italian,Priya Nair,34,4.5,74569,32,6,7,12,1,2,6721,6873,7390,5541,4100,3067,5615,-54.36,34,33690,15497,404280,371928,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1057,The Copper Pot II,Premium Café,Bangalore,Indian,Vikram Singh,23,4.8,5749,11,5,4,33,1,0,14421,13866,13149,11836,11665,10695,12605,-25.84,67,75630,34790,907560,834960,45.5,0,Extended Credit Terms,1513,227944,14955.8,0.7,8.87,🟡 At Risk,Tier 2 – Engage
FF-1058,Velvet Room II,Premium Café,Chennai,Fusion,Vikram Singh,229,4.0,19701,22,2,3,10,1,0,21141,22446,23243,23738,22531,21229,22388,0.42,72,134328,61791,1611936,1050447,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1059,Zest & Zeal II,Bar & Lounge,Bangalore,Indian,Vikram Singh,180,3.3,59076,22,4,7,35,1,0,15293,16261,15064,13982,12027,10650,13879,-30.36,31,83274,38306,999288,229836,54.5,1,Extended Credit Terms,1665,75156,4411.2,0.7,2.92,🟡 At Risk,Tier 3 – Monitor
FF-1060,Neon Nights Bar II,Bar & Lounge,Mumbai,Japanese,Vikram Singh,35,3.5,10186,25,4,0,16,1,0,5611,5429,5346,5053,5123,4672,5205,-16.73,75,31230,14366,374760,344784,36.4,0,Premium Flavour Trial,500,75300,14930.1,0.65,2.72,🟢 Healthy,Tier 3 – Monitor
FF-1061,The Garden Table II,Premium Café,Ranchi,Indian,Neha Joshi,127,3.2,53863,22,6,4,34,0,1,20618,19727,19778,20347,19346,17182,19499,-16.66,71,116994,53817,1403928,215268,54.5,1,Extended Credit Terms,2340,70392,2907.0,0.7,2.74,🟡 At Risk,Tier 3 – Monitor
FF-1062,Harbour View II,Fine Dining Restaurant,Bangalore,Japanese,Neha Joshi,246,4.4,1161,28,2,4,17,1,1,15156,14940,15132,12451,10387,7661,12621,-49.45,66,75726,34834,908712,836016,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1063,Crimson Fork II,Bar & Lounge,Bangalore,Japanese,Arjun Mehta,189,3.8,45343,29,7,5,39,1,3,14069,13484,14424,13172,11981,10204,12889,-27.47,70,77334,35574,928008,142296,54.5,1,Extended Credit Terms,1547,46530,2905.9,0.7,1.81,🟡 At Risk,Tier 3 – Monitor
FF-1064,Olive & Oak II,Premium Café,Chennai,Italian,Riya Sharma,53,4.2,61463,13,3,0,21,1,3,23943,24603,25281,18647,14762,10670,19651,-55.43,41,117906,54237,1414872,922029,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1065,The Rooftop Sip II,Bar & Lounge,Mumbai,Indian,Vikram Singh,270,4.1,43328,18,7,5,23,1,0,9696,10201,10170,10206,10533,9792,10099,0.99,63,60594,27873,727128,362349,45.5,0,Dedicated Account Manager,8000,98921,1136.4,0.85,4.67,🟡 At Risk,Tier 3 – Monitor
FF-1066,Downtown Diner II,Premium Café,Chennai,Japanese,Arjun Mehta,266,3.3,49104,2,3,0,18,0,2,15544,15974,16765,11352,6695,4073,11733,-73.79,48,70398,32383,844776,194298,63.6,1,Premium Flavour Trial,500,74144,14699.4,0.65,2.68,🟡 At Risk,Tier 3 – Monitor
FF-1067,Bombay Blend II,Fine Dining Restaurant,Pune,Mediterranean,Riya Sharma,288,3.9,11026,29,5,5,36,1,0,19691,20712,22205,20032,16921,13523,18847,-31.32,20,113082,52018,1356984,1248432,45.5,0,Extended Credit Terms,2262,340821,14960.6,0.7,13.26,🟡 At Risk,Tier 1 – Urgent
FF-1068,The Mango Tree II,Premium Café,Delhi,Multi-Cuisine,Priya Nair,160,3.6,69410,21,1,7,38,1,2,6994,6878,6352,5731,5279,4822,6009,-31.05,57,36054,16585,432648,33170,63.6,1,Extended Credit Terms,721,12657,1653.2,0.7,0.49,🟡 At Risk,Tier 3 – Monitor
FF-1069,Latitude 28 II,Catering Service,Delhi,Pan-Asian,Neha Joshi,293,4.0,26092,15,3,2,20,1,0,8532,8062,8684,7620,6405,5786,7514,-32.18,50,45084,20739,541008,456258,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1070,The Ice House II,Fine Dining Restaurant,Delhi,Pan-Asian,Riya Sharma,115,3.6,29482,27,1,3,7,1,3,9472,9832,9180,5948,3910,2290,6772,-75.82,120,40632,18691,487584,74764,54.5,1,Premium Flavour Trial,500,24447,4779.8,0.65,0.88,🟡 At Risk,Tier 3 – Monitor
FF-1071,Pearl & Petal II,Premium Café,Delhi,Italian,Priya Nair,246,4.7,707,31,4,3,27,0,3,14251,13932,14632,13574,13383,12252,13670,-14.03,25,82020,37729,984240,905496,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1072,Mosaic Café II,Premium Café,Delhi,Indian,Riya Sharma,58,3.5,69119,15,1,0,4,0,2,14345,14738,14220,12401,11351,10492,12924,-26.86,12,77544,35670,930528,856080,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1073,The Black Label II,Fine Dining Restaurant,Ranchi,Indian,Neha Joshi,48,4.9,29828,23,4,1,16,1,0,11944,11505,10827,5125,2437,1143,7163,-90.42,120,42978,19770,515736,79080,54.5,1,Premium Flavour Trial,500,25859,5061.7,0.65,0.93,🟡 At Risk,Tier 3 – Monitor
FF-1074,Sundowner Bar II,4-Star Hotel,Delhi,Japanese,Neha Joshi,264,3.9,46979,24,2,6,36,1,2,10531,9825,9730,7942,6634,5191,8308,-50.7,39,49848,22930,598176,550320,36.4,0,Extended Credit Terms,997,120189,11943.1,0.7,4.68,🟢 Healthy,Tier 3 – Monitor
FF-1075,Spice Symphony II,4-Star Hotel,Mumbai,Fusion,Arjun Mehta,255,4.7,20603,13,2,4,35,0,3,19434,20965,21447,22073,21338,20004,20876,2.93,17,125256,57618,1503072,1325214,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1076,Casa Milano II,Fine Dining Restaurant,Pune,Continental,Vikram Singh,204,4.3,40391,22,6,4,18,0,0,11924,11268,11053,9157,8021,6862,9714,-42.45,45,58284,26811,699408,616653,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1077,The Lemon Tree II,Premium Café,Delhi,Japanese,Riya Sharma,291,4.5,11254,33,6,0,26,0,0,21296,22960,21323,22236,21185,18664,21277,-12.36,11,127662,58725,1531944,1291950,36.4,0,Extended Credit Terms,2553,282161,10947.8,0.7,10.98,🟢 Healthy,Tier 2 – Engage
FF-1078,Bourbon Street II,Bar & Lounge,Hyderabad,Multi-Cuisine,Riya Sharma,255,4.6,81937,3,5,7,33,0,2,13327,14344,14572,13833,14336,14003,14069,5.07,70,84414,38830,1012968,38830,63.6,1,Extended Credit Terms,1688,14817,777.3,0.7,0.58,🟡 At Risk,Tier 3 – Monitor
FF-1079,Café Nuvola II,Premium Café,Mumbai,Mediterranean,Priya Nair,258,4.1,73482,19,3,5,10,1,1,16700,17485,18610,17667,16537,15279,17046,-8.51,23,102276,47047,1227312,846846,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1080,The Blue Petal Café III,Fine Dining Restaurant,Delhi,Pan-Asian,Neha Joshi,285,4.2,56422,23,5,1,44,1,2,19574,20073,19697,12966,8548,4919,14296,-74.87,120,85776,39457,1029312,236742,63.6,1,Extended Credit Terms,1716,90340,5161.6,0.7,3.52,🟡 At Risk,Tier 3 – Monitor
FF-1081,Skyline Bar III,5-Star Hotel,Ranchi,Japanese,Riya Sharma,84,4.1,48731,29,4,2,11,0,3,12582,12738,12159,8075,5363,3247,9027,-74.19,62,54162,24915,649944,174405,54.5,1,Premium Flavour Trial,500,57030,11283.4,0.65,2.06,🟡 At Risk,Tier 3 – Monitor
FF-1082,Monarch Grand Hotel III,Bar & Lounge,Ranchi,Continental,Neha Joshi,196,4.3,29801,30,5,5,20,1,3,20312,21501,21303,22194,21112,21472,21315,5.71,2,127890,58829,1534680,764777,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor
FF-1083,Spice Route III,Premium Café,Pune,Continental,Riya Sharma,22,3.3,63211,25,1,5,10,0,3,14341,13857,12855,11564,10601,9455,12112,-34.07,86,72672,33429,872064,33429,54.5,1,Dedicated Account Manager,8000,10931,36.6,0.85,0.52,🟡 At Risk,Tier 3 – Monitor
FF-1084,The Artisan Brew III,Bar & Lounge,Hyderabad,Japanese,Arjun Mehta,161,3.9,41823,8,4,0,38,0,3,9177,9129,9597,9873,10142,9637,9592,5.01,84,57552,26474,690624,635376,45.5,0,Extended Credit Terms,1151,173457,14957.1,0.7,6.75,🟡 At Risk,Tier 2 – Engage
